,Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
76,Comercio al por mayor de otros tipos de maquinaria y equipo n c p,ENVIGADO,ANTIOQUIA,CALLE 27 SUR 27 D 79 AP 505,http://empresite.eleconomistaamerica.co/GLOBAL-SOLAR-SOLUTION-SAS.html,GLOBAL SOLAR SOLUTION S A S,ENERGIA-SOLAR,3178544054
77,Construccion de otras obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 99 75 A 07,http://empresite.eleconomistaamerica.co/CONSTRUCCIONES-ANDRES-SOLARTE-SAS.html,CONSTRUCCIONES ANDRES SOLARTE S A S,ENERGIA-SOLAR,3004885136
78,Mantenimiento y reparacion especializado de equipo electrico,MEDELLIN,ANTIOQUIA,CALLE 33 C 88 A 115 INTERI,http://empresite.eleconomistaamerica.co/INNOVACION-SOLAR-INNOSOLAR-SAS.html,INNOVACION SOLAR INNOSOLAR S A S,ENERGIA-SOLAR,(4)5775139
79,Otras actividades profesionales cientificas y tecnicas n c p,SALGAR,ANTIOQUIA,CARRERA 29 28 02 EL COLISE,http://empresite.eleconomistaamerica.co/AGROGENESIS-SOLAR-SAS.html,AGROGENESIS SOLAR S A S,ENERGIA-SOLAR,3216771487
80,Comercio de partes piezas (autopartes) y accesorios (lujos) para vehiculos automotores,MEDELLIN,ANTIOQUIA,CARRERA 76 A 53 215 BLOQ 3 A,http://empresite.eleconomistaamerica.co/SEGURIDAD-CONTROL-SOLAR-SAS.html,SEGURIDAD Y CONTROL SOLAR S A S,ENERGIA-SOLAR,3147356495
81,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CALLE 51 B 81 A 29,http://empresite.eleconomistaamerica.co/QUANTUM-SOLARIS-SAS.html,QUANTUM SOLARIS S A S,ENERGIA-SOLAR,(4)5820711
82,Actividades de apoyo terapeutico,MEDELLIN,ANTIOQUIA,CARRERA 35 A 15 B 35 OF 802,http://empresite.eleconomistaamerica.co/TECNICA-SOLARTE-SAS.html,TECNICA SOLARTE S A S,ENERGIA-SOLAR,(4)3318058
83,Comercio al por mayor de aparatos y equipo de uso domestico,MEDELLIN,ANTIOQUIA,CARRERA 33 7 99,http://empresite.eleconomistaamerica.co/OR-SOLAR-ENERGIES-SAS.html,OR SOLAR ENERGIES S A S,ENERGIA-SOLAR,(4)3118209
84,Actividades de produccion de peliculas cinematograficas videos programas anuncios y comerciales de television,MEDELLIN,ANTIOQUIA,CARRERA 42 50 A 42 APTO 50,http://empresite.eleconomistaamerica.co/PRODUCTORA-SOLAR-SAS.html,PRODUCTORA SOLAR S A S,ENERGIA-SOLAR,3164457543
85,Terminacion y acabado de edificios y obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 45 84 47,http://empresite.eleconomistaamerica.co/MCG-SEGURIDAD-PROTECCION-SOLAR-LTDA.html,MCG SEGURIDAD Y PROTECCION SOLAR S A S,ENERGIA-SOLAR,(4)4447903
86,Comercio de partes piezas (autopartes) y accesorios (lujos) para vehiculos automotores,MEDELLIN,ANTIOQUIA,CARRERA 34 7 73,http://empresite.eleconomistaamerica.co/PROTECCION-SOLAR-AMERICANA-SAS.html,PROTECCION SOLAR AMERICANA S A S,ENERGIA-SOLAR,(4)3663734
87,Fabricacion de vidrio y productos de vidrio,MEDELLIN,ANTIOQUIA,CARRERA 43 A 11 85 OF 208,http://empresite.eleconomistaamerica.co/CPS-CRISTAL-PELICULAS-CONTROL-SOLAR-SA.html,C P S CRISTAL Y PELICULAS DE CONTROL SOLAR S A,ENERGIA-SOLAR,(4)3114264
88,Otras actividades profesionales cientificas y tecnicas n c p,MEDELLIN,ANTIOQUIA,CARRERA 46 93 140,http://empresite.eleconomistaamerica.co/CORPORACION-SOLAR-ARANJUEZ.html,CORPORACION EL SOLAR DE ARANJUEZ,ENERGIA-SOLAR,(4)5808514
89,Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 7 SUR 42 70 OF 2501,http://empresite.eleconomistaamerica.co/INVERSIONES-PROYECTOS-SOLARIS-SA.html,INVERSIONES Y PROYECTOS SOLARIS S A,ENERGIA-SOLAR,(4)3107070
90,Fabricacion de otros tipos de maquinaria y equipo de uso general n c p,MEDELLIN,ANTIOQUIA,CALLE 12 S 25 127 INT 404,http://empresite.eleconomistaamerica.co/HSS-SOLAR-SA.html,H S S SOLAR S A S,ENERGIA-SOLAR,(4)3173420
