Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Edicion de libros,MEDELLIN,ANTIOQUIA,AVENIDA 33 83 A 7,http://empresite.eleconomistaamerica.co/EDITORA-CREATIVE-LEARNING-CENTER-SA.html,EDITORA CREATIVE LEARNING CENTER S A,MACHINE-LEARNING,(4)4121096
Comercio al por menor de libros periodicos materiales y articulos de papeleria y escritorio en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 48 C CL 15 SUR 70,http://empresite.eleconomistaamerica.co/QUICK-LEARNING-SAS.html,QUICK LEARNING S A S,MACHINE-LEARNING,(4)4448027
Otros tipos de educacion n c p,MEDELLIN,ANTIOQUIA,CARRERA 29 10 66,http://empresite.eleconomistaamerica.co/OPEN-DOORS-THE-LEARNING-CENTER-SAS.html,OPEN DOORS THE LEARNING CENTER S A S,MACHINE-LEARNING,(4)4440220
Comercio al por menor de libros periodicos materiales y articulos de papeleria y escritorio en establecimientos especializados,MEDELLIN,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/REPRESENTACIONES-LEARNING-ANTIOQUIA-LTDA.html,REPRESENTACIONES LEARNING DE ANTIOQUIA LTDA,MACHINE-LEARNING,
Formacion academica no formal,SANTA ROSA DE OSOS,ANTIOQUIA,CALLE 32 30 34,http://empresite.eleconomistaamerica.co/WORLD-LEARNING-INSTITUTE-SAS.html,WORLD LEARNING INSTITUTE S A S,MACHINE-LEARNING,(4)8608025
Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CARRERA 28 29 190 BLOQUE 7,http://empresite.eleconomistaamerica.co/THINK-LEARNING-CONSULTING-LTDA.html,THINK LEARNING CONSULTING LTDA,MACHINE-LEARNING,(4)2266726
Otros tipos de educacion n c p,MEDELLIN,ANTIOQUIA,CALLE 35 66 A 6,http://empresite.eleconomistaamerica.co/CREATIVE-LEARNING-CENTER-ENGLISH-DEPARTMENT-EU.html,CREATIVE LEARNING CENTER ENGLISH DEPARTMENT E U EN LIQUIDACION,MACHINE-LEARNING,(4)2352233
Formacion academica no formal,MEDELLIN,ANTIOQUIA,CALLE 48 C 67 51,http://empresite.eleconomistaamerica.co/GLOBAL-LEARNING-SYSTEM-LTDA.html,CENTRO DE IDIOMAS GLS GLOBAL LEARNING SYSTEM LTDA,MACHINE-LEARNING,(4)4481074
Educacion de la primera infancia,SABANETA,ANTIOQUIA,CL 78 SUR 40 210,http://empresite.eleconomistaamerica.co/CENTRO-EDUCATIVO-HAPPY-LEARNING-SAS.html,CENTRO EDUCATIVO HAPPY LEARNING S A S EN LIQUIDACION,MACHINE-LEARNING,(4)3014120
Otros tipos de educacion n c p,BELLO,ANTIOQUIA,CALLE 47 52 51,http://empresite.eleconomistaamerica.co/SION-LEARNING-FUNDATION.html,SION E LEARNING FUNDATION,MACHINE-LEARNING,(4)4445965
Mantenimiento y reparacion especializado de maquinaria y equipo,MEDELLIN,ANTIOQUIA,CALLE 60 53 62,http://empresite.eleconomistaamerica.co/MYS-MACHINERY-LTDA.html,M Y S MACHINERY LTDA,MACHINE-LEARNING,(4)2318867
Actividades de juegos de azar y apuestas,MEDELLIN,ANTIOQUIA,CARRERA 65 2 B 50,http://empresite.eleconomistaamerica.co/GAMING-MACHINE-SERVICES-LTDA.html,GAMING MACHINE SERVICES LTDA,MACHINE-LEARNING,(4)2553853
Transporte mixto,PUERTO TRIUNFO,ANTIOQUIA,CALLE 20 19 03 CORR PUERTO PERALES,http://empresite.eleconomistaamerica.co/RP-MACHINES-SAS.html,RP MACHINES S A S,MACHINE-LEARNING,3102413688
Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n c p,LA ESTRELLA,ANTIOQUIA,CALLE 76 C SUR 57 57,http://empresite.eleconomistaamerica.co/GRAND-MACHINES-SAS.html,GRAND MACHINES S A S,MACHINE-LEARNING,3012175843
Mantenimiento y reparacion de vehiculos automotores,RIONEGRO,ANTIOQUIA,CARRERA 55 A 26 38,http://empresite.eleconomistaamerica.co/TUNNING-MACHINE-SAS.html,TUNNING MACHINE S A S,MACHINE-LEARNING,3196046353
Mantenimiento y reparacion especializado de maquinaria y equipo,ITAGUI,ANTIOQUIA,CALLE 36 63 56 IN 39,http://empresite.eleconomistaamerica.co/BOBCAT-SERVICE-AND-MACHINERY-SAS.html,BOBCAT SERVICE AND MACHINERY S A S,MACHINE-LEARNING,(4)3720301
Comercio al por mayor de otros tipos de maquinaria y equipo n c p,MEDELLIN,ANTIOQUIA,CARRERA 77 A 48B 12,http://empresite.eleconomistaamerica.co/JAPAN-MACHINERY-CO-LTDA.html,JAPAN MACHINERY CO LTDA,MACHINE-LEARNING,(4)2344157
Construccion de otras obras de ingenieria civil,ITAGUI,ANTIOQUIA,CALLE 38 A 50 A 56,http://empresite.eleconomistaamerica.co/TOOLBOX-MACHINERY-SERVICE-SAS.html,TOOLBOX MACHINERY SERVICE S A S,MACHINE-LEARNING,(4)3123374
Comercio al por mayor de otros tipos de maquinaria y equipo n c p,MEDELLIN,ANTIOQUIA,CALLE 35 63 B 61 IN 301,http://empresite.eleconomistaamerica.co/AMERICAN-SELLERS-MACHINERY-SAS.html,AMERICAN SELLERS MACHINERY S A S,MACHINE-LEARNING,(4)4445510
Comercio al por menor de productos farmaceuticos y medicinales cosmeticos y articulos de tocador en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 65 8 B 91,http://empresite.eleconomistaamerica.co/COMERCIAL-MACHINE-SAS.html,COMERCIAL MACHINE S A S,MACHINE-LEARNING,(4)2553705
Comercio al por menor de articulos de ferreteria pinturas y productos de vidrio en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 79 45 GG 101,http://empresite.eleconomistaamerica.co/SLOT-MACHINE-SAS.html,SLOT MACHINE S A S,MACHINE-LEARNING,(4)4925727
Comercio al por mayor de otros tipos de maquinaria y equipo n c p,ITAGUI,ANTIOQUIA,CALLE 31 67 44 AP 302,http://empresite.eleconomistaamerica.co/CJ-HEAVY-MACHINERY-SAS.html,CJ HEAVY MACHINERY S A S,MACHINE-LEARNING,3128051339
Comercio al por mayor de maquinaria y equipo agropecuarios,MEDELLIN,ANTIOQUIA,CALLE 23 41 70 BL 2 APTO,http://empresite.eleconomistaamerica.co/FIELD-MACHINERIES-OVERSEAS-COLOMBIA-SAS.html,FIELD MACHINERIES OVERSEAS COLOMBIA S A S,MACHINE-LEARNING,(4)4480734
Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CALLE 47 2 BB 115 INT 12,http://empresite.eleconomistaamerica.co/SOLUCIONES-TECNOLOGICAS-INTELIGENCIA-ARTIFICIAL-SAS.html,SOLUCIONES TECNOLOGICAS EN INTELIGENCIA ARTIFICIAL S A S,INTELIGENCIA-ARTIFICIAL,(4)2220882
Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,MEDELLIN,ANTIOQUIA,CALLE 42 81 28,http://empresite.eleconomistaamerica.co/INTELIGENCIA-IT-SAS.html,INTELIGENCIA IT S A S,INTELIGENCIA-ARTIFICIAL,(4)4444501
Actividades de administracion empresarial,LA ESTRELLA,ANTIOQUIA,CALLE 100 SUR 49 95 LC 20,http://empresite.eleconomistaamerica.co/INTELIGENCIA-ANALITICA-SAS.html,INTELIGENCIA Y ANALITICA S A S,INTELIGENCIA-ARTIFICIAL,3184637448
